Masa_molowa,LogP,Liczba_ciezkich_atomow,Donory_wiazania_wodorowego,Akceptory_wiazania_wodorowego,Pierscienie_aromatyczne,TPSA
312.4,2.1,22,1,4,1,58.3
445.6,3.8,31,2,6,2,84.7
268.3,1.5,19,1,3,1,49.2
389.5,4.2,27,0,5,2,61.8
512.7,5.1,36,1,7,3,92.4
334.4,2.7,24,2,5,1,76.1
287.3,1.9,21,1,4,1,54.6
421.5,3.3,29,0,6,2,67.9
356.4,2.4,25,2,5,1,81.3
478.6,4.6,33,1,6,3,73.5
301.3,1.2,20,1,3,0,46.8
529.7,5.4,37,2,8,3,101.2
342.4,2.9,24,1,5,2,65.7
411.5,3.7,28,0,6,2,59.4
259.3,1.0,18,1,2,0,42.1
468.6,4.1,32,2,7,2,88.9
377.5,3.0,26,1,5,1,70.6
495.6,4.8,34,0,6,3,63.2
318.4,2.2,22,2,4,1,79.5
552.7,5.6,38,2,8,3,108.4
421.5,3.3,29,0,6,2,67.9
356.4,2.4,25,2,5,1,81.3
478.6,4.6,33,1,6,3,73.5
301.3,1.2,20,1,3,0,46.8
529.7,5.4,37,2,8,3,101.2
